id,task,app,namespace,faulty_service,fault_type,fault_description,workload,expected_solution,system_level,fault_category,deployment
k8s_target_port-misconfig-detection-1,detection,Social Network,social-network,user-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,Yes,Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-localization-1,localization,Social Network,social-network,user-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"[""user-service""]",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-analysis-1,analysis,Social Network,social-network,user-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"{""system_level"": ""Virtualization"", ""fault_type"": ""Misconfiguration""}",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-mitigation-1,mitigation,Social Network,social-network,user-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"Reset target port to 9090, all pods Running",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-detection-2,detection,Social Network,social-network,text-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,Yes,Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-localization-2,localization,Social Network,social-network,text-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"[""text-service""]",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-analysis-2,analysis,Social Network,social-network,text-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"{""system_level"": ""Virtualization"", ""fault_type"": ""Misconfiguration""}",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-mitigation-2,mitigation,Social Network,social-network,text-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"Reset target port to 9090, all pods Running",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-detection-3,detection,Social Network,social-network,post-storage-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,Yes,Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-localization-3,localization,Social Network,social-network,post-storage-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"[""post-storage-service""]",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-analysis-3,analysis,Social Network,social-network,post-storage-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"{""system_level"": ""Virtualization"", ""fault_type"": ""Misconfiguration""}",Virtualization,Misconfiguration,k8s
k8s_target_port-misconfig-mitigation-3,mitigation,Social Network,social-network,post-storage-service,misconfig_k8s,K8s service target port misconfiguration,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"Reset target port to 9090, all pods Running",Virtualization,Misconfiguration,k8s
auth_miss_mongodb-detection-1,detection,Hotel Reservation,hotel-reserv,mongodb-rate,auth_missing,MongoDB authentication credentials missing,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Application,Authentication Issue,k8s
auth_miss_mongodb-localization-1,localization,Hotel Reservation,hotel-reserv,mongodb-rate,auth_missing,MongoDB authentication credentials missing,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""mongodb-rate""]",Application,Authentication Issue,k8s
auth_miss_mongodb-analysis-1,analysis,Hotel Reservation,hotel-reserv,mongodb-rate,auth_missing,MongoDB authentication credentials missing,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Application"", ""fault_type"": ""Authentication Issue""}",Application,Authentication Issue,k8s
auth_miss_mongodb-mitigation-1,mitigation,Hotel Reservation,hotel-reserv,mongodb-rate,auth_missing,MongoDB authentication credentials missing,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Restore MongoDB authentication, all pods Running",Application,Authentication Issue,k8s
revoke_auth_mongodb-detection-1,detection,Hotel Reservation,hotel-reserv,mongodb-geo,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Application,Authentication Issue,k8s
revoke_auth_mongodb-localization-1,localization,Hotel Reservation,hotel-reserv,mongodb-geo,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""mongodb-geo""]",Application,Authentication Issue,k8s
revoke_auth_mongodb-analysis-1,analysis,Hotel Reservation,hotel-reserv,mongodb-geo,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Application"", ""fault_type"": ""Authentication Issue""}",Application,Authentication Issue,k8s
revoke_auth_mongodb-mitigation-1,mitigation,Hotel Reservation,hotel-reserv,mongodb-geo,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Restore MongoDB authentication, all pods Running",Application,Authentication Issue,k8s
revoke_auth_mongodb-detection-2,detection,Hotel Reservation,hotel-reserv,mongodb-rate,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Application,Authentication Issue,k8s
revoke_auth_mongodb-localization-2,localization,Hotel Reservation,hotel-reserv,mongodb-rate,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""mongodb-rate""]",Application,Authentication Issue,k8s
revoke_auth_mongodb-analysis-2,analysis,Hotel Reservation,hotel-reserv,mongodb-rate,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Application"", ""fault_type"": ""Authentication Issue""}",Application,Authentication Issue,k8s
revoke_auth_mongodb-mitigation-2,mitigation,Hotel Reservation,hotel-reserv,mongodb-rate,auth_revoke,MongoDB authentication revoked,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Restore MongoDB authentication, all pods Running",Application,Authentication Issue,k8s
user_unregistered_mongodb-detection-1,detection,Hotel Reservation,hotel-reserv,mongodb-geo,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Application,Authentication Issue,k8s
user_unregistered_mongodb-localization-1,localization,Hotel Reservation,hotel-reserv,mongodb-geo,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""mongodb-geo""]",Application,Authentication Issue,k8s
user_unregistered_mongodb-analysis-1,analysis,Hotel Reservation,hotel-reserv,mongodb-geo,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Application"", ""fault_type"": ""Authentication Issue""}",Application,Authentication Issue,k8s
user_unregistered_mongodb-mitigation-1,mitigation,Hotel Reservation,hotel-reserv,mongodb-geo,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Re-register MongoDB user, all pods Running",Application,Authentication Issue,k8s
user_unregistered_mongodb-detection-2,detection,Hotel Reservation,hotel-reserv,mongodb-rate,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Application,Authentication Issue,k8s
user_unregistered_mongodb-localization-2,localization,Hotel Reservation,hotel-reserv,mongodb-rate,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""mongodb-rate""]",Application,Authentication Issue,k8s
user_unregistered_mongodb-analysis-2,analysis,Hotel Reservation,hotel-reserv,mongodb-rate,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Application"", ""fault_type"": ""Authentication Issue""}",Application,Authentication Issue,k8s
user_unregistered_mongodb-mitigation-2,mitigation,Hotel Reservation,hotel-reserv,mongodb-rate,user_unregistered,MongoDB user unregistered/deleted,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Re-register MongoDB user, all pods Running",Application,Authentication Issue,k8s
misconfig_app_hotel_res-detection-1,detection,Hotel Reservation,hotel-reserv,frontend,app_misconfig,Application misconfiguration in frontend,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,Yes,Application,Misconfiguration,k8s
misconfig_app_hotel_res-localization-1,localization,Hotel Reservation,hotel-reserv,frontend,app_misconfig,Application misconfiguration in frontend,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"[""frontend""]",Application,Misconfiguration,k8s
misconfig_app_hotel_res-analysis-1,analysis,Hotel Reservation,hotel-reserv,frontend,app_misconfig,Application misconfiguration in frontend,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"{""system_level"": ""Application"", ""fault_type"": ""Misconfiguration""}",Application,Misconfiguration,k8s
misconfig_app_hotel_res-mitigation-1,mitigation,Hotel Reservation,hotel-reserv,frontend,app_misconfig,Application misconfiguration in frontend,hotelReservation/wrk2/scripts/hotel-reservation/mixed-workload_type_1.lua,"Fix configuration, all pods Running",Application,Misconfiguration,k8s
scale_pod_zero_social_net-detection-1,detection,Social Network,social-network,compose-post-service,scale_pod_zero,Pod scaled to zero replicas,socialNetwork/wrk2/scripts/social-network/compose-post.lua,Yes,Virtualization,Operation Error,k8s
scale_pod_zero_social_net-localization-1,localization,Social Network,social-network,compose-post-service,scale_pod_zero,Pod scaled to zero replicas,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"[""compose-post-service""]",Virtualization,Operation Error,k8s
scale_pod_zero_social_net-analysis-1,analysis,Social Network,social-network,compose-post-service,scale_pod_zero,Pod scaled to zero replicas,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"{""system_level"": ""Virtualization"", ""fault_type"": ""Operation Error""}",Virtualization,Operation Error,k8s
scale_pod_zero_social_net-mitigation-1,mitigation,Social Network,social-network,compose-post-service,scale_pod_zero,Pod scaled to zero replicas,socialNetwork/wrk2/scripts/social-network/compose-post.lua,"Scale pod back to 1+, all pods Running",Virtualization,Operation Error,k8s
assign_to_non_existent_node_social_net-detection-1,detection,Social Network,social-network,compose-post-service,assign_non_existent_node,Pod assigned to non-existent node,socialNetwork/wrk2/scripts/social-network/compose-post.lua,Yes,Virtualization,Misconfiguration,k8s
